user_posted,hashtags,,length,num_comments,date_posted,likes,views,video_play_count
umitsfinn,"[""#pov"",""#richaussiemum"",""#birthday""]",,36.766,46,2023-05-21T08:13:32.000Z,4377,53015,124752
abdl9ziz,"[""#الاحساء_الطرف_الجشه_الجفر_السباط_المبرز_الهفوف"",""#السعودية_الرياض_القصيم_الدمام_جدة_مكه_المدينة_الطائف_ينبع_الخليج_العربي""]",,80.312,9,2025-03-22T14:24:29.000Z,238,5040,11982
ivanovonewsbars,,,139.733,0,2025-02-20T08:31:30.000Z,2,650,1988
bollywoodstyle,"[""#instantbollywood"",""#bollywoodstyle"",""#reels"",""#instagram"",""#indiantelly"",""#fitcheck"",""#outfits"",""#bollywoodfits"",""#bollywood"",""#outfitcheck""]",,4.466,1,2025-03-06T06:02:38.000Z,95,9067,1312677
sherryliew95,,,8.333,2,2024-12-03T13:20:48.000Z,3,2770,10346
thayanepin,"[""#MercadoLivre"",""#MeusFavsDoMercadoLivre""]",,33.7,7,2025-09-22T23:00:00.000Z,353,7232,20332
mum_withcreativesoul,"[""#Amazon"",""#amazonfinds"",""#amazonhome"",""#amazonshopping"",""#amazononline""]",,13.433,195,2024-09-08T12:27:48.000Z,641,43749,91573
florist.od.ua,"[""#доставкаквітіводеса"",""#доставкацветовводессе"",""#квітиодеса"",""#цветыдоставкаодесса"",""#трояндиодеса"",""#51розаодесса"",""#доставкацветоводесса"",""#розиодеса"",""#доставкацветоводесса"",""#101розаодесса"",""#101трояндаодеса""]",,10.433,0,2025-04-07T13:28:29.000Z,23,1350,3899
silvioysato,,,127.933,3,2025-04-30T00:52:05.000Z,90,607,2289
miss_hidayah93,"[""#hidayahuntuknidal🤍"",""#jokerjunioriscoming""]",,90,74,2024-12-03T09:08:14.000Z,889,8822,26647
kawaidanceagency88,,,62.366,0,2025-02-05T10:43:19.000Z,88,2228,6446
ashikaseem,"[""#insta360"",""#jatayu"",""#kerala"",""#ramayana""]",,13.379,169,2025-03-13T03:21:37.000Z,70282,714129,1938633
newadventuresdaily_,,,18.633,5,2025-03-03T16:41:04.000Z,135,637,2349
vsbrar786,"[""#vsbrar786"",""#tag"",""#fitness""]",,13.133,2,2025-03-25T13:13:43.000Z,70,1303,2347
crush_megha,"[""#LakmēSunExpert"",""#Lakmesun"",""#sunscreen"",""#suncare"",""#sunscreenforoilyskin"",""#glowsunscreen"",""#Lakmefluidsunscreen"",""#Suntan"",""#Lakmesunscreen"",""#ad"",""#sponsered""]",,28.333,3,2025-03-26T13:54:22.000Z,-1,1281,12051
weretherussos,,,23.566,2,2025-05-06T13:04:08.000Z,49,28,2070
studio.style.tomsk,,,47.566,0,2025-04-07T15:43:28.000Z,2,193,523
milkshakeusa,,,7.566,3,2025-05-01T18:00:49.000Z,135,1749,8475
trisharooy,"[""#trisharooy"",""#instagram"",""#youtube"",""#youtubechannel"",""#fyp"",""#viral"",""#kolkatabuzz"",""#contentcreator"",""#kolkatasutra"",""#kolkatadiaries"",""#KolkataVibes"",""#kolkatastreets"",""#esplanade"",""#esplanadekolkata"",""#newmarketsummercollection"",""#newmarketsale"",""#salé"",""#ExplorePage"",""#exploremore"",""#fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp"",""#mirchidi"",""#rreasonableprice""]",,33.2,31,2025-04-14T12:18:17.000Z,1003,17097,51670
fariq_rh,,,35.566,1,2025-04-09T00:36:44.000Z,141,1252,4742
gtve100,"[""#影后"",""#陳庭妮""]",,224.457,0,2024-11-19T04:32:24.000Z,676,6085,26123
wisatajember_,,,9.045,23,2024-09-23T00:38:06.000Z,248,2527,6670
tokyo__date,"[""#pr"",""#東京観光"",""#東京観光スポット"",""#東京デート"",""#東京デートスポット"",""#東京グルメ"",""#日本橋ディナー"",""#日本橋グルメ"",""#日本橋デート"",""#日本橋すき焼き""]",,28.566,2,2025-03-31T13:27:06.000Z,277,15343,69408
salafybertauhid,,,31.9,93,2024-07-03T04:22:23.000Z,938,18159,45738
vicky_platn,"[""#kajianislam"",""#kajianislam"",""#kajianrutin"",""#kajianhadits"",""#malang"",""#ngajibarenggusrocker"",""#ngajigusrocker"",""#gusrocker"",""#fyp"",""#janganyadekya"",""#sorotan"",""#jangkauanluas""]",,108.56,1,2024-08-15T05:13:55.000Z,15,47,148
sweksha_dubey,,,52.835,64,2024-09-04T20:16:45.000Z,1574,3855,24191
viya_yadav,"[""#funnyvideos"",""#funny"",""#marriedlife"",""#relationshipgoals"",""#cutefunny"",""#relatable"",""#love"",""#shortvideo"",""#couplevlogs"",""#kanpuriya"",""#odia"",""#kanpuriyareel"",""#InstaReal"",""#chhagniya"",""#chhags"",""#viyayadav"",""#IndianMasala"",""#india"",""#allindia"",""#Viral"",""#Comedy"",""#ComedyReel"",""#hindi"",""#hindivideos"",""#ComedyVideo"",""#FunnyVideo"",""#mumbai"",""#indore"",""#Indori""]",,50.76,19,2025-01-03T11:23:46.000Z,3673,30464,72519
mononewsth,"[""#โมโนเน็กซ์"",""#JAS"",""#น้ำท่วม"",""#ถุงยังชีพ"",""#ข่าวโมโน"",""#mononews"",""#Mono29"",""#MONOข่าวเย็น""]",,208.007,0,2024-08-30T10:05:51.000Z,9,52,211
minsajang_,,,43.433,101,2025-03-19T09:45:52.000Z,18467,774570,2402967
tejasswiprakash12,"[""#TejasswiPrakash"",""#Tejran"",""#reels"",""#reelsinstagram"",""#reelkarofeelkaro"",""#reelitfeelit"",""#viral"",""#explore"",""#trending""]",,22.859,3,2024-09-15T11:18:09.000Z,766,4444,13411
johnmonkman,"[""#StudioMindset"",""#MusicProduction"",""#MelodicTechno"",""#TechnoMusic"",""#ElectronicMusic"",""#EDMProducer"",""#MusicProducerLife"",""#JohnMonkman"",""#IbizaMusic"",""#CreativeFlow"",""#MenorShip"",""#StudioWorkflow"",""#TechnoProducer"",""#MindsetMatters"",""#MusicCreativityy""]",,5.766,5,2025-03-05T17:00:00.000Z,74,764,2951
ferobaskan16,"[""#PolisHaftası"",""#180YıllıkGurur"",""#TürkPolisTeşkilatı""]",,54.4,0,2025-04-11T11:09:46.000Z,204,2407,9980
cinnamondust_,,,35.4,73,2025-02-16T12:01:22.000Z,8678,26157,136952
petchyindee.academy,"[""#muaythai"",""#thaiboxing"",""#thailand"",""#bangkok"",""#bangkokgym"",""#petchyindee"",""#petchyindeekingdom"",""#petchyindeemuaythai"",""#trendingreels"",""#fighter""]",,46.033,0,2024-09-24T12:08:19.000Z,132,1929,6240
anjalipandey116,,,22.966,19,2025-04-08T06:52:52.000Z,2698,15535,41854
seo10projetosdigitais,"[""#marketing"",""#planejamentodemarketingdigital"",""#marketingdigital"",""#dicasdemarketing""]",,63.625,0,2025-03-13T02:22:46.000Z,6,16,136
